Item,X,Y,Z
01F_AN_O,-0.130334775,-0.513541963,0.842743823
01F_CA_C,0.551604676,0.038795481,-0.298186183
01F_CA_O,0.768928942,0.030452815,-0.603272638
01F_DI_C,-0.229441723,0.425801965,0.833969005
01F_DI_O,0.118932448,-0.149013705,1.062770224
01F_FE_C,0.628737139,0.137661974,0.36299875
01F_FE_O,0.441590423,-0.563646638,0.281669649
01F_HA_C,-0.056170711,-0.412189539,-1.226138711
01F_HA_O,0.211266618,-0.993435474,-1.208402596
01F_HA_X,-0.292057735,-1.017698519,-0.168560336
01F_NE_C,0.580180331,0.448559643,-0.482145823
01F_NE_O,0.244013385,-0.001854742,-0.364967427
01F_SA_C,-0.141595684,0.808364122,0.346523782
01F_SA_O,0.190241784,-0.696820997,0.205287602
01F_SP_O,-0.247464094,-0.882400993,0.285544
01f_an_c,-0.136983744,0.78441315,0.634680671
06F_AN_C,-0.423844039,0.725883866,0.262247631
06F_AN_O,-0.38362348,-0.075792586,0.543270816
06F_CA_C,0.52059774,0.85406139,-0.429502329
06F_CA_O,0.678080194,-0.131367087,-0.328703137
06F_DI_C,-0.228106008,0.4534496,0.60527651
06F_DI_O,-0.155619617,-0.566920663,0.796646126
06F_FE_C,0.435320555,0.099198779,-0.195422266
06F_FE_O,0.67539608,-0.189713557,0.163177203
06F_HA_C,-0.144848883,-0.275151425,-1.113846714
06F_HA_O,0.034137379,-1.004249076,-0.735621136
06F_HA_X,-0.542162037,-0.953092589,-0.291634422
06F_NE_C,0.521332477,0.260688116,-0.792672664
06F_NE_O,0.236606962,0.436733779,-0.555334542
06F_SA_C,0.518552948,-0.350067629,0.265234818
06F_SA_O,0.047532284,0.170537433,0.580323444
06F_SP_O,0.329248159,-1.039318409,0.441691257
09F_AN_C,-0.193025685,0.14945787,0.757010676
09F_AN_O,0.337786897,-0.665037728,0.852958735
09F_CA_C,0.150471749,0.761367942,-0.550392601
09F_CA_O,-0.566188645,-0.456264344,-0.474467923
09F_DI_C,-0.188007491,0.573882169,0.708983394
09F_DI_O,-0.794209498,-0.297010104,1.149398426
09F_FE_C,-0.119756948,0.534486093,0.435791314
09F_FE_O,1.000088131,-0.09409097,0.091089723
09F_HA_C,-0.721821707,-0.394906086,-0.75382778
09F_HA_O,-0.960395658,-0.84362135,-0.139951739
09F_HA_X,-0.660963284,-0.668482493,-0.61217634
09F_NE_C,-0.201988132,0.727519176,-0.660597253
09F_NE_O,0.220577811,0.316363414,-0.472074058
09F_SA_C,-0.038333451,0.574454512,-0.001553367
09F_SA_O,0.062647911,-0.36062196,0.71490125
09F_SP_O,-0.458579438,-0.740130683,0.239093934
11F_AN_C,-0.63191695,0.263515642,0.351567036
11F_AN_O,-0.006552706,-0.854842479,0.162544871
11F_CA_C,0.413447828,-0.237719215,-0.635128468
11F_CA_O,0.526075945,-0.184593598,-0.422372435
11F_DI_C,-0.043082887,0.837681053,0.504447778
11F_DI_O,0.59329367,-0.677088969,0.543896113
11F_FE_C,-0.623047836,0.309755016,-0.27418363
11F_FE_O,1.202584272,-0.720562955,0.201386407
11F_HA_C,-0.337263566,-0.150899853,-1.212478369
11F_HA_O,-0.552319804,-0.420390925,-0.749214449
11F_HA_X,0.712776105,-1.314278466,-0.551042155
11F_NE_C,-0.006557401,0.41114744,-1.040281212
11F_NE_O,0.504885055,-0.300011502,-0.949788591
11F_SA_C,0.281320262,0.238768555,0.435696288
11F_SA_O,0.583178609,-0.352126097,0.510888591
11F_SP_O,0.1656039,-0.932015216,0.344126936
12F_AN_C,-0.097619001,0.602687975,0.249817146
12F_AN_O,-0.553123784,-0.466740484,0.99357825
12F_CA_C,-0.444123998,0.82600235,-0.343865386
12F_CA_O,-0.672043402,0.274938286,-0.612150785
12F_DI_C,-0.507877237,0.24215771,0.766487972
12F_DI_O,0.12347976,-0.660800927,0.474982025
12F_FE_C,0.576689522,-0.280190728,-0.204223308
12F_FE_O,0.385459252,-0.393205682,0.162207761
12F_HA_C,-0.916533442,-0.090102772,-0.52300243
12F_HA_O,-0.793640343,-0.723775219,-0.53257928
12F_HA_X,-0.66441815,-0.762134685,-0.681630422
12F_NE_C,-0.065622286,0.498750517,-0.09950301
12F_NE_O,0.268334876,0.904283446,-0.579023048
12F_SA_C,0.459229729,0.324572759,0.679562768
12F_SA_O,0.150636726,0.292300373,0.486823497
12F_SP_O,0.454680341,-0.709702501,-0.141604516
13F_AN_C,-0.315317611,0.314098371,0.183654253
13F_AN_O,-0.402356768,-0.551924353,1.227084992
13F_CA_C,-0.429890741,0.806859401,-0.348189167
13F_CA_O,-0.383223411,0.285228653,-0.10005448
13F_DI_C,-0.402265896,0.38397028,0.943296962
13F_DI_O,-0.292295942,-0.516300899,0.786061143
13F_FE_C,0.776511175,-0.119623279,-0.225356099
13F_FE_O,0.261831564,-0.738569058,0.761042522
13F_HA_C,-0.784327594,-0.326874438,-0.535075751
13F_HA_O,-0.331269461,-1.068253917,-1.012494759
13F_HA_X,-0.202619745,-1.313331663,-0.603765839
13F_NE_C,0.555669216,0.407694128,-0.585776786
13F_NE_O,0.620336253,0.556017361,-0.241655648
13F_SA_C,-0.110141417,0.503238955,0.658332292
13F_SA_O,0.48306146,-0.187044437,0.498433973
13F_SP_O,0.682739334,-0.942603934,0.537900631
20M_AN_C,-0.143300399,0.686572996,0.053285008
20M_AN_O,0.316048735,0.120574213,0.920077459
20M_CA_C,0.128730687,0.879005681,-0.544078569
20M_CA_O,0.398711776,0.588908795,-0.450803799
20M_DI_O,-0.446870398,0.375951459,0.572042439
20M_FE_C,0.677838904,0.119542217,0.356104273
20M_FE_O,0.916189164,0.50947979,0.253358059
20M_HA_C,-0.396886098,-0.172093462,-0.671276508
20M_HA_O,-0.473034337,0.060153807,-1.132037156
20M_HA_X,0.055003373,-1.278375786,-0.334311869
20M_NE_C,0.440761919,0.647724611,-0.451886055
20M_NE_O,-0.061858675,0.675923542,-0.220648851
20M_SA_C,0.007121242,0.700414106,0.624908847
20M_SA_O,0.479275924,-0.192042479,0.421092207
20M_SP_O,0.124037017,-1.29325537,0.018729983
21M_AN_C,0.145287551,0.494158681,-0.031362948
21M_AN_O,0.330699902,-0.486602644,0.835560998
21M_CA_C,0.451604626,0.130267521,-0.474092522
21M_CA_O,0.213230528,0.374582944,-0.762585523
21M_DI_C,-0.321856789,0.493189582,0.342256167
21M_DI_O,0.510678138,-0.430902279,0.443815481
21M_FE_C,0.371205109,0.436198168,-0.247192761
21M_FE_O,0.535883817,-0.39676157,0.44842265
21M_HA_C,-1.205950457,0.214312941,-0.938015619
21M_HA_O,0.396563499,-0.808218639,-0.830625825
21M_HA_X,0.007493285,-0.788033817,-0.611870367
21M_NE_C,0.488593995,0.294359372,-0.710750639
21M_NE_O,-0.238499678,0.633548863,-0.570507337
21M_SA_C,-0.03698066,0.648906143,0.479656822
21M_SA_O,-0.048688653,-0.50688785,0.155045596
21M_SP_O,-0.423841317,-1.193642372,0.281057306
25M_AN_C,-0.48109137,0.298802579,0.704753716
25M_AN_O,0.272003952,-0.367217624,0.481661484
25M_CA_C,-0.449551944,0.338248496,-0.58686189
25M_CA_O,0.749919634,0.216977438,-0.451442283
25M_DI_C,-0.647940106,0.364851371,0.437151671
25M_DI_O,0.248928986,-0.361199909,0.384415717
25M_FE_O,0.80703987,-0.18572739,0.239493058
25M_HA_C,0.635615749,-0.331823907,-0.7559868
25M_HA_O,-0.038798943,-0.241189799,-0.773596571
25M_HA_X,-0.791354955,-0.514451327,-0.852729225
25M_NE_C,0.072203715,0.440773451,-0.478222766
